1234	1234	0	1580276451	-1	501.000000	1586416308	6	47.000000	0
12345	12345	0	1580276459	-1	0.000000	1580276459	0	123.000000	0
123456	123456	0	1580276482	-1	0.000000	1580276482	0	123.000000	0
4321	4321	0	1580470209	-1	0.000000	1580470209	0	123.000000	0
123	123	2	1585214004	-3617008641903833651	0.000000	1585214004	0	123.000000	0
0000	000	0	1585214437	-3617008641903833651	0.000000	1585214437	0	1.000000	0
777	777	2	1585465703	0	0.000000	1585465703	0	0.000000	0
234	234	0	1585466344	0	0.000000	1585466344	0	234.000000	0
1	1	0	1586415957	-1	1.000000	1586704897	1	0.000000	0
88888	88888	0	1586423900	0	0.000000	1586423900	0	123.000000	0
11111	11111	0	1586705313	0	0.000000	1586705313	0	111111.000000	0
wenkan	1234	0	1587020478	0	1.000000	1587022433	1	122.000000	0
9999	111	0	1587027824	0	1.000000	1587027856	1	110.000000	0
